ORIGIN,ORIGIN_CITY_NAME
SFO,"San Francisco, CA"
ANC,"Anchorage, AK"
SEA,"Seattle, WA"
PDX,"Portland, OR"
LAX,"Los Angeles, CA"
PHX,"Phoenix, AZ"
LAS,"Las Vegas, NV"
HNL,"Honolulu, HI"
MSP,"Minneapolis, MN"
SLC,"Salt Lake City, UT"
DEN,"Denver, CO"
FAI,"Fairbanks, AK"
AUS,"Austin, TX"
SJU,"San Juan, PR"
GUM,"Guam, TT"
IAG,"Niagara Falls, NY"
PBG,"Plattsburgh, NY"
PSE,"Ponce, PR"
BQN,"Aguadilla, PR"
SPN,"Saipan, TT"
PUW,"Pullman, WA"
ALW,"Walla Walla, WA"
MFR,"Medford, OR"
BLI,"Bellingham, WA"
EUG,"Eugene, OR"
GEG,"Spokane, WA"
MOT,"Minot, ND"
MCI,"Kansas City, MO"
GFK,"Grand Forks, ND"
ABR,"Aberdeen, SD"
FSD,"Sioux Falls, SD"
FAR,"Fargo, ND"
ORD,"Chicago, IL"
DFW,"Dallas/Fort Worth, TX"
IAH,"Houston, TX"
BUF,"Buffalo, NY"
BIS,"Bismarck/Mandan, ND"
BOS,"Boston, MA"
IAD,"Washington, DC"
LNK,"Lincoln, NE"
OMA,"Omaha, NE"
ISP,"Islip, NY"
MDW,"Chicago, IL"
MKE,"Milwaukee, WI"
RDM,"Bend/Redmond, OR"
SAT,"San Antonio, TX"
BJI,"Bemidji, MN"
STL,"St. Louis, MO"
ABQ,"Albuquerque, NM"
PVD,"Providence, RI"
FLL,"Fort Lauderdale, FL"
PHL,"Philadelphia, PA"
MHT,"Manchester, NH"
PSC,"Pasco/Kennewick/Richland, WA"
OAK,"Oakland, CA"
ELP,"El Paso, TX"
SMF,"Sacramento, CA"
LWS,"Lewiston, ID"
ONT,"Ontario, CA"
BNA,"Nashville, TN"
MEM,"Memphis, TN"
MSY,"New Orleans, LA"
HOU,"Houston, TX"
EWR,"Newark, NJ"
BDL,"Hartford, CT"
CLT,"Charlotte, NC"
PIT,"Pittsburgh, PA"
BWI,"Baltimore, MD"
OKC,"Oklahoma City, OK"
CVG,"Cincinnati, OH"
PHF,"Newport News/Williamsburg, VA"
DCA,"Washington, DC"
STS,"Santa Rosa, CA"
VPS,"Valparaiso, FL"
TLH,"Tallahassee, FL"
EAU,"Eau Claire, WI"
BTV,"Burlington, VT"
RNO,"Reno, NV"
SBA,"Santa Barbara, CA"
MRY,"Monterey, CA"
